reference,objet_marche,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,budget,date_publication,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_requis_administratif,documents_requis_technique,documents_requis_financier,conditions_participation,chef_de_mission_diplome,chef_de_mission_experience,chef_de_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025054,Marché de prestation 54,Ministère de l'Équipement,"Rue 54, Rabat",05 37 00 00 54,05 37 00 00 54,3493664,2024-04-30,174,14,42,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,8,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025055,Marché de prestation 55,Ministère de l'Équipement,"Rue 55, Rabat",05 37 00 00 55,05 37 00 00 55,153777,2024-09-17,39,16,41,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025056,Marché de prestation 56,Ministère de l'Équipement,"Rue 56, Rabat",05 37 00 00 56,05 37 00 00 56,3932050,2024-05-02,119,21,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025057,Marché de prestation 57,Ministère de l'Équipement,"Rue 57, Rabat",05 37 00 00 57,05 37 00 00 57,2943474,2024-03-15,53,27,40,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025058,Marché de prestation 58,Ministère de l'Équipement,"Rue 58, Rabat",05 37 00 00 58,05 37 00 00 58,2825908,2024-10-27,131,30,45,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025059,Marché de prestation 59,Ministère de l'Équipement,"Rue 59, Rabat",05 37 00 00 59,05 37 00 00 59,3683187,2024-06-08,73,56,52,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025060,Marché de prestation 60,Ministère de l'Équipement,"Rue 60, Rabat",05 37 00 00 60,05 37 00 00 60,2921628,2024-07-17,128,16,16,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025061,Marché de prestation 61,Ministère de l'Équipement,"Rue 61, Rabat",05 37 00 00 61,05 37 00 00 61,4733602,2024-05-28,176,27,28,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025062,Marché de prestation 62,Ministère de l'Équipement,"Rue 62, Rabat",05 37 00 00 62,05 37 00 00 62,1181805,2024-02-16,149,13,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025063,Marché de prestation 63,Ministère de l'Équipement,"Rue 63, Rabat",05 37 00 00 63,05 37 00 00 63,1366361,2024-04-03,124,17,24,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025064,Marché de prestation 64,Ministère de l'Équipement,"Rue 64, Rabat",05 37 00 00 64,05 37 00 00 64,1847132,2024-09-21,53,14,54,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025065,Marché de prestation 65,Ministère de l'Équipement,"Rue 65, Rabat",05 37 00 00 65,05 37 00 00 65,2929207,2024-02-17,77,12,43,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025066,Marché de prestation 66,Ministère de l'Équipement,"Rue 66, Rabat",05 37 00 00 66,05 37 00 00 66,4256077,2024-12-17,172,56,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025067,Marché de prestation 67,Ministère de l'Équipement,"Rue 67, Rabat",05 37 00 00 67,05 37 00 00 67,4819017,2024-09-13,95,20,44,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025068,Marché de prestation 68,Ministère de l'Équipement,"Rue 68, Rabat",05 37 00 00 68,05 37 00 00 68,635812,2024-07-16,74,37,34,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025069,Marché de prestation 69,Ministère de l'Équipement,"Rue 69, Rabat",05 37 00 00 69,05 37 00 00 69,1318990,2024-12-13,69,49,15,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025070,Marché de prestation 70,Ministère de l'Équipement,"Rue 70, Rabat",05 37 00 00 70,05 37 00 00 70,2811399,2024-04-19,94,45,19,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025071,Marché de prestation 71,Ministère de l'Équipement,"Rue 71, Rabat",05 37 00 00 71,05 37 00 00 71,2714324,2024-07-05,110,44,20,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025072,Marché de prestation 72,Ministère de l'Équipement,"Rue 72, Rabat",05 37 00 00 72,05 37 00 00 72,3995048,2024-09-12,117,57,14,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025073,Marché de prestation 73,Ministère de l'Équipement,"Rue 73, Rabat",05 37 00 00 73,05 37 00 00 73,1187928,2024-10-17,162,29,57,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025074,Marché de prestation 74,Ministère de l'Équipement,"Rue 74, Rabat",05 37 00 00 74,05 37 00 00 74,2726364,2024-09-02,103,50,32,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025075,Marché de prestation 75,Ministère de l'Équipement,"Rue 75, Rabat",05 37 00 00 75,05 37 00 00 75,2195839,2024-09-17,165,47,49,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025076,Marché de prestation 76,Ministère de l'Équipement,"Rue 76, Rabat",05 37 00 00 76,05 37 00 00 76,755598,2024-10-09,123,44,52,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025077,Marché de prestation 77,Ministère de l'Équipement,"Rue 77, Rabat",05 37 00 00 77,05 37 00 00 77,531355,2024-04-09,155,10,18,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025078,Marché de prestation 78,Ministère de l'Équipement,"Rue 78, Rabat",05 37 00 00 78,05 37 00 00 78,4629414,2024-07-09,39,29,22,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,8,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025079,Marché de prestation 79,Ministère de l'Équipement,"Rue 79, Rabat",05 37 00 00 79,05 37 00 00 79,2708266,2024-01-07,129,58,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025080,Marché de prestation 80,Ministère de l'Équipement,"Rue 80, Rabat",05 37 00 00 80,05 37 00 00 80,3258061,2024-02-12,140,45,16,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025081,Marché de prestation 81,Ministère de l'Équipement,"Rue 81, Rabat",05 37 00 00 81,05 37 00 00 81,913722,2024-12-22,65,49,37,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025082,Marché de prestation 82,Ministère de l'Équipement,"Rue 82, Rabat",05 37 00 00 82,05 37 00 00 82,838298,2024-02-07,79,59,22,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025083,Marché de prestation 83,Ministère de l'Équipement,"Rue 83, Rabat",05 37 00 00 83,05 37 00 00 83,1887286,2024-10-08,169,46,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025084,Marché de prestation 84,Ministère de l'Équipement,"Rue 84, Rabat",05 37 00 00 84,05 37 00 00 84,4847757,2024-09-04,73,18,50,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025085,Marché de prestation 85,Ministère de l'Équipement,"Rue 85, Rabat",05 37 00 00 85,05 37 00 00 85,1335954,2024-12-11,179,32,34,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025086,Marché de prestation 86,Ministère de l'Équipement,"Rue 86, Rabat",05 37 00 00 86,05 37 00 00 86,4951732,2024-09-16,161,11,40,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025087,Marché de prestation 87,Ministère de l'Équipement,"Rue 87, Rabat",05 37 00 00 87,05 37 00 00 87,1570162,2024-07-25,137,53,39,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025088,Marché de prestation 88,Ministère de l'Équipement,"Rue 88, Rabat",05 37 00 00 88,05 37 00 00 88,1428109,2024-08-06,162,19,31,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025089,Marché de prestation 89,Ministère de l'Équipement,"Rue 89, Rabat",05 37 00 00 89,05 37 00 00 89,4236189,2024-09-15,117,58,47,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025090,Marché de prestation 90,Ministère de l'Équipement,"Rue 90, Rabat",05 37 00 00 90,05 37 00 00 90,4359306,2024-02-11,73,13,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025091,Marché de prestation 91,Ministère de l'Équipement,"Rue 91, Rabat",05 37 00 00 91,05 37 00 00 91,4258258,2024-10-02,103,57,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025092,Marché de prestation 92,Ministère de l'Équipement,"Rue 92, Rabat",05 37 00 00 92,05 37 00 00 92,2163100,2024-10-03,159,40,50,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025093,Marché de prestation 93,Ministère de l'Équipement,"Rue 93, Rabat",05 37 00 00 93,05 37 00 00 93,119065,2024-08-04,69,57,55,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025094,Marché de prestation 94,Ministère de l'Équipement,"Rue 94, Rabat",05 37 00 00 94,05 37 00 00 94,2057819,2024-03-14,90,31,57,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025095,Marché de prestation 95,Ministère de l'Équipement,"Rue 95, Rabat",05 37 00 00 95,05 37 00 00 95,3190400,2024-05-26,99,26,10,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025096,Marché de prestation 96,Ministère de l'Équipement,"Rue 96, Rabat",05 37 00 00 96,05 37 00 00 96,1254597,2024-01-17,119,14,40,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025097,Marché de prestation 97,Ministère de l'Équipement,"Rue 97, Rabat",05 37 00 00 97,05 37 00 00 97,3603738,2024-07-28,133,51,23,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025098,Marché de prestation 98,Ministère de l'Équipement,"Rue 98, Rabat",05 37 00 00 98,05 37 00 00 98,4324309,2024-05-05,168,47,24,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025099,Marché de prestation 99,Ministère de l'Équipement,"Rue 99, Rabat",05 37 00 00 99,05 37 00 00 99,1243393,2024-12-26,174,18,34,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
